crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,number_of_persons_injured,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,cross_street_name,vehicle_type_code2,contributing_factor_vehicle_3,vehicle_type_code_3,contributing_factor_vehicle_4,vehicle_type_code_4,contributing_factor_vehicle_5,vehicle_type_code_5,CounDist,email
2026-05-31T00:00:00.000,2:39,QUEENS,11374.0,40.731815,-73.87129,"{""latitude"": ""40.731815"", ""longitude"": ""-73.87129"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",LONG ISLAND EXPY,WOODHAVEN BLVD,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4903029,Pick-up Truck,,,,,,,,,49.0,District49@council.nyc.gov
2026-05-31T00:00:00.000,19:50,BRONX,10453.0,0.0,0.0,"{""latitude"": ""0.0"", ""longitude"": ""0.0"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",,,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4902974,FIRE,2275      JEROME AVE,4 dr sedan,,,,,,,,
2026-05-31T00:00:00.000,17:45,BROOKLYN,11235.0,40.57851,-73.95948,"{""latitude"": ""40.57851"", ""longitude"": ""-73.95948"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",,,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4903119,4 dr sedan,3175      CONEY ISLAND AVE,Station Wagon/Sport Utility Vehicle,,,,,,,34.0,District34@council.nyc.gov
2026-05-31T00:00:00.000,16:30,MANHATTAN,10019.0,40.768032,-73.99585,"{""latitude"": ""40.768032"", ""longitude"": ""-73.99585"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",W 52 ST,12 AVE,1,0,0,1,0,0,0,Unspecified,Unspecified,4903447,BICY,,BICY,,,,,,,1.0,District1@council.nyc.gov
2026-05-31T00:00:00.000,19:57,MANHATTAN,10016.0,40.740738,-73.97465,"{""latitude"": ""40.740738"", ""longitude"": ""-73.97465"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",,,0,0,0,0,0,0,0,Unspecified,Unspecified,4903054,4 dr sedan,400       E 30 ST,UN/C,,,,,,,14.0,District14@council.nyc.gov
2026-05-31T00:00:00.000,22:47,BRONX,10463.0,40.875046,-73.91227,"{""latitude"": ""40.875046"", ""longitude"": ""-73.91227"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",W 225 ST,JACOBUS PL,1,0,0,0,0,1,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,4902993,4 dr sedan,,Station Wagon/Sport Utility Vehicle,,,,,,,36.0,District36@council.nyc.gov
2026-05-31T00:00:00.000,13:38,BROOKLYN,11234.0,40.631256,-73.927986,"{""latitude"": ""40.631256"", ""longitude"": ""-73.927986"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",,,2,0,0,0,0,2,0,Following Too Closely,Unspecified,4902921,Station Wagon/Sport Utility Vehicle,1683      UTICA AVE,Station Wagon/Sport Utility Vehicle,,,,,,,20.0,district20@council.nyc.gov
2026-05-31T00:00:00.000,20:56,BROOKLYN,11208.0,40.67278,-73.87968,"{""latitude"": ""40.67278"", ""longitude"": ""-73.87968"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",,,0,0,0,0,0,0,0,Unspecified,Unspecified,4902931,4 dr sedan,236       BERRIMAN ST,MOPD,,,,,,,19.0,District19@council.nyc.gov
2026-05-31T00:00:00.000,11:32,QUEENS,11101.0,40.74641,-73.95031,"{""latitude"": ""40.74641"", ""longitude"": ""-73.95031"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",11 ST,46 AVE,1,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,4903312,SWT,,BICY,,,,,,,48.0,IVernikov@council.nyc.gov
2026-05-31T00:00:00.000,2:41,QUEENS,11368.0,40.75776,-73.86281,"{""latitude"": ""40.75776"", ""longitude"": ""-73.86281"", ""human_address"": ""{\""address\"": \""\"", \""city\"": \""\"", \""state\"": \""\"", \""zip\"": \""\""}""}",NORTHERN BLVD,106 ST,0,0,0,0,0,0,0,Alcohol Involvement,,4902739,4 dr sedan,,,,,,,,,30.0,District30@council.nyc.gov
